image,score
../datasets/photocentric/IMG_8735.jpg,5.36
../datasets/photocentric/IMG_8756.jpg,3.78
../datasets/photocentric/IMG_8637.jpg,4.43
../datasets/photocentric/IMG_8758.jpg,3.8
../datasets/photocentric/IMG_8638.jpg,4.17
../datasets/photocentric/IMG_8630.jpg,2.14
../datasets/photocentric/IMG_8642.jpg,3.53
../datasets/photocentric/IMG_8653.jpg,3.74
../datasets/photocentric/IMG_8780.jpg,2.39
../datasets/photocentric/IMG_8778.jpg,1.6
../datasets/photocentric/IMG_8654.jpg,4.08
../datasets/photocentric/IMG_8679.jpg,2.45
../datasets/photocentric/IMG_8671.jpg,1.76
../datasets/photocentric/IMG_8783.jpg,1.03
../datasets/photocentric/IMG_8762.jpg,3.77
../datasets/photocentric/IMG_8768.jpg,2.29
../datasets/photocentric/IMG_8727.jpg,3.44
../datasets/photocentric/IMG_8655.jpg,4.34
../datasets/photocentric/IMG_8751.jpg,3.52
../datasets/photocentric/IMG_8707.jpg,4.59
../datasets/photocentric/IMG_8632.jpg,1.55
../datasets/photocentric/598993220.134000.jpg,3.68
../datasets/photocentric/IMG_8706.jpg,3.34
../datasets/photocentric/IMG_8684.jpg,3.09
../datasets/photocentric/IMG_8626.jpg,2.47
../datasets/photocentric/IMG_8676.jpg,1.85
../datasets/photocentric/IMG_8647.jpg,4.5
../datasets/photocentric/IMG_8764.jpg,4.03
../datasets/photocentric/598993189.964777.jpg,4.28
../datasets/photocentric/IMG_8659.jpg,4.33
../datasets/photocentric/IMG_0184.jpg,1.1
../datasets/photocentric/IMG_8682.jpg,3.27
../datasets/photocentric/IMG_8634.jpg,4.48
../datasets/photocentric/IMG_8648.jpg,5.57
../datasets/photocentric/IMG_8639.jpg,4.78
../datasets/photocentric/IMG_8760.jpg,3.5
../datasets/photocentric/IMG_8770.jpg,3.22
../datasets/photocentric/598993238.284251.jpg,5.05
../datasets/photocentric/598993248.635455.jpg,3.96
../datasets/photocentric/IMG_8652.jpg,5.55
../datasets/photocentric/IMG_8658.jpg,3.88
../datasets/photocentric/IMG_8775.jpg,3.38
../datasets/photocentric/IMG_8667.jpg,3.11
../datasets/photocentric/IMG_8701.jpg,2.72
../datasets/photocentric/IMG_8670.jpg,1.92
../datasets/photocentric/IMG_0190.jpg,1.88
../datasets/photocentric/IMG_8749.jpg,4.02
../datasets/photocentric/IMG_8732.jpg,3.21
../datasets/photocentric/IMG_8645.jpg,5.21
../datasets/photocentric/IMG_8715.jpg,2.51
../datasets/photocentric/IMG_8669.jpg,2.52
../datasets/photocentric/IMG_8674.jpg,2.28
../datasets/photocentric/IMG_8737.jpg,4.63
../datasets/photocentric/IMG_8641.jpg,4.19
../datasets/photocentric/IMG_8683.jpg,2.63
../datasets/photocentric/IMG_8781.jpg,1.51
../datasets/photocentric/IMG_8623.jpg,4.86
../datasets/photocentric/IMG_8665.jpg,2.98
../datasets/photocentric/IMG_8656.jpg,3.7
../datasets/photocentric/IMG_8711.jpg,3.12
../datasets/photocentric/IMG_8712.jpg,2.88
../datasets/photocentric/IMG_8718.jpg,3.32
